job_key,company,title,location,region,track,score,visa,evidence,skills,job_url,canonical_url,application_id,source,search_query,date_posted,discovered_at,checked_at,status
848f6a7c8ae7024644b6955d,Genentech,Biostatistician (Translational and Exploratory Biostatistics),"South San Francisco, CA",美国,Pharma,74,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：最低要求约 2 年；核心专业：23/30；领域迁移：14/20；工具匹配：12/15；工作授权：JD 未明确,R | Python | SAS | Statistics | Biostatistics | Machine learning | Clinical trials,https://www.linkedin.com/jobs/view/4467422696,https://linkedin.com/jobs/view/4467422696,,JobSpy · linkedin,biostatistician,2026-09-15,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
a41cb66f06c41eb1b93216c2,Hinge Health,"Biostatistician, Quantitative Epidemiology","San Francisco, CA",美国,Pharma,74,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：24/30；领域迁移：14/20；工具匹配：15/15；工作授权：JD 未明确,R | Python | SQL | SAS | Statistics | Biostatistics | Causal inference,https://www.linkedin.com/jobs/view/4456967146,https://linkedin.com/jobs/view/4456967146,,JobSpy · linkedin,biostatistician,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
fed980009cadb9585c5ad3ad,Emory University,Epidemiologist - Rollins School of Public Health,"Atlanta, GA",美国,Pharma,70,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：23/30；领域迁移：19/20；工具匹配：7/15；工作授权：JD 未明确,R | SAS | Statistics | Biostatistics | Machine learning | Clinical trials,https://www.linkedin.com/jobs/view/4464255603,https://linkedin.com/jobs/view/4464255603,,JobSpy · linkedin,research scientist biostatistics,2026-09-14,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
4d35c15d4a1ab19a3b97eb6c,Emory University,Research Scientist - Rollins School of Public Health,"Atlanta, GA",美国,Pharma,70,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：23/30；领域迁移：19/20；工具匹配：7/15；工作授权：JD 未明确,R | SAS | Statistics | Biostatistics | Machine learning | Clinical trials,https://www.linkedin.com/jobs/view/4464260635,https://linkedin.com/jobs/view/4464260635,,JobSpy · linkedin,research scientist biostatistics,2026-09-14,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
04cc9fb6c789d540c018cb39,Citadel,Quantitative Researcher – PhD Graduate (US),"Miami, FL",美国,Quant,62,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：16/30；领域迁移：13/20；工具匹配：12/15；工作授权：JD 未明确,R | Python | Statistics | Machine learning,https://www.linkedin.com/jobs/view/4439273223,https://linkedin.com/jobs/view/4439273223,,JobSpy · linkedin,quantitative researcher,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
107ad57584647598caa92c8d,Citadel Securities,Quantitative Researcher – PhD Graduate (US),"Miami, FL",美国,Quant,62,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：16/30；领域迁移：13/20；工具匹配：12/15；工作授权：JD 未明确,R | Python | Statistics | Machine learning,https://www.linkedin.com/jobs/view/4439258815,https://linkedin.com/jobs/view/4439258815,,JobSpy · linkedin,quantitative researcher,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
babbbc1a0114ee0a79c5bc9b,Vantive,Data Scientist - Sciences,"St Paul, MN",美国,Healthcare AI,60,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：16/30；领域迁移：8/20；工具匹配：15/15；工作授权：JD 未明确,R | Python | Statistics | Machine learning,https://www.linkedin.com/jobs/view/4465967547,https://linkedin.com/jobs/view/4465967547,,JobSpy · linkedin,statistical scientist,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
39cbb362867cfd881df89554,"Life Raft Group, Inc.",Real-World Data Epidemiologist,"Wayne, NJ, US",美国,Pharma,59,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：30/30；领域迁移：8/20；工具匹配：15/15；工作授权：JD 未明确；硬技能缺口：检测到 1 类未确认的核心研发要求,R | Python | SAS | Statistics | Biostatistics | Causal inference | Machine learning,http://www.indeed.com/job/real-world-data-epidemiologist-c0afa034fd62784c,http://indeed.com/job/real-world-data-epidemiologist-c0afa034fd62784c,,JobSpy · indeed,quantitative researcher,2026-09-16,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
537b2544199df306f75a8ee9,CAMRIS,Epidemiologist,"Atlanta, GA",美国,Pharma,57,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：10/30；领域迁移：14/20；工具匹配：12/15；工作授权：JD 未明确,R | Python | SQL | SAS | Statistics,https://www.linkedin.com/jobs/view/4459084558,https://linkedin.com/jobs/view/4459084558,,JobSpy · linkedin,real world evidence scientist,,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
2eb9fba009a11c5218eb5659,Oklahoma Medical Research Foundation,Biostatistician/Bioinformatician - James/Guthridge Lab,"Oklahoma City, OK",美国,Pharma,56,JD 未明确,聚合平台发现，需打开公司官网确认申请入口；学历：明确接受博士；经验：未写明最低年限；核心专业：17/30；领域迁移：8/20；工具匹配：10/15；工作授权：JD 未明确,R | Statistics | Biostatistics | Clinical trials,https://www.linkedin.com/jobs/view/4467253284,https://linkedin.com/jobs/view/4467253284,,JobSpy · linkedin,research scientist health data,2026-09-14,2026-09-16T14:41:43.650607+00:00,2026-09-16T14:41:43.650607+00:00,待官网核验
